player_name,Wins
User_1,14210
User_2,11969
User_3,10895
User_4,10107
User_5,10096
User_6,9577
User_7,9441
User_8,9274
User_9,9208
User_10,7902
User_11,7669
User_12,7650
User_13,7460
User_14,7231
User_15,6908
User_16,6775
User_17,6690
User_18,6650
User_19,6591
User_20,6576
User_21,6463
User_22,6329
User_23,6225
User_24,6145
User_25,6125
User_26,6005
User_27,5970
User_28,5929
User_29,5877
User_30,5781
User_31,5682
User_32,5640
User_33,5630
User_34,5618
User_35,5478
User_36,5374
User_37,5369
User_38,5315
User_39,5266
User_40,5251
User_41,5222
User_42,5182
User_43,5139
User_44,5136
User_45,5096
User_46,5013
User_47,4953
User_48,4933
User_49,4868
User_50,4855
User_51,4845
User_52,4842
User_53,4820
User_54,4797
User_55,4795
User_56,4743
User_57,4732
User_58,4730
User_59,4730
User_60,4649
User_61,4623
User_62,4616
User_63,4610
User_64,4597
User_65,4583
User_66,4578
User_67,4553
User_68,4504
User_69,4466
User_70,4437
User_71,4435
User_72,4434
User_73,4431
User_74,4406
User_75,4393
User_76,4391
User_77,4388
User_78,4374
User_79,4372
User_80,4365
User_81,4358
User_82,4343
User_83,4340
User_84,4297
User_85,4293
User_86,4281
User_87,4246
User_88,4229
User_89,4215
User_90,4190
User_91,4180
User_92,4159
User_93,4151
User_94,4105
User_95,4104
User_96,4095
User_97,4079
User_98,4044
User_99,4014
User_100,4012
User_101,4005
User_102,4004
User_103,3998
User_104,3993
User_105,3935
User_106,3921
User_107,3852
User_108,3833
User_109,3815
User_110,3804
User_111,3776
User_112,3760
User_113,3754
User_114,3741
User_115,3740
User_116,3739
User_117,3739
User_118,3737
User_119,3728
User_120,3725
User_121,3723
User_122,3701
User_123,3694
User_124,3674
User_125,3669
User_126,3652
User_127,3643
User_128,3637
User_129,3630
User_130,3615
User_131,3612
User_132,3602
User_133,3596
User_134,3592
User_135,3587
User_136,3573
User_137,3564
User_138,3559
User_139,3558
User_140,3550
User_141,3548
User_142,3510
User_143,3507
User_144,3492
User_145,3483
User_146,3483
User_147,3475
User_148,3467
User_149,3465
User_150,3463
User_151,3443
User_152,3442
User_153,3428
User_154,3419
