player_name,Damage
User_1,61337210
User_2,32709509
User_3,31986703
User_4,30340334
User_5,29459467
User_6,28920064
User_7,28725771
User_8,28009239
User_9,27834976
User_10,27048954
User_11,26467363
User_12,25192162
User_13,25169930
User_14,24695810
User_15,23121063
User_16,22787815
User_17,22459926
User_18,22381673
User_19,22230940
User_20,21793327
User_21,21474836
User_22,20976891
User_23,20889274
User_24,20863655
User_25,20848178
User_26,20759295
User_27,20445350
User_28,20159895
User_29,19885876
User_30,19726893
User_31,19649714
User_32,19598454
User_33,19357102
User_34,19261043
User_35,18765138
User_36,18428568
User_37,18227032
User_38,18187467
User_39,17737830
User_40,17704906
User_41,17700544
User_42,17572050
User_43,17418485
User_44,17386504
User_45,17264334
User_46,17216206
User_47,17100670
User_48,16955493
User_49,16756767
User_50,16693551
User_51,16652683
User_52,16601626
User_53,16571111
User_54,16494466
User_55,16331273
User_56,16065378
User_57,16006294
User_58,15975296
User_59,15954956
User_60,15893743
User_61,15787707
User_62,15735569
User_63,15677898
User_64,15520382
User_65,15515170
User_66,15509925
User_67,15465380
User_68,15414633
User_69,15411699
User_70,15381233
User_71,15361642
User_72,15353822
User_73,15294491
User_74,15288914
User_75,15175815
User_76,15154697
User_77,15149508
User_78,15139572
User_79,15048406
User_80,15021501
User_81,14916412
User_82,14870829
User_83,14696784
User_84,14602052
User_85,14544849
User_86,14529806
User_87,14350612
User_88,14268728
User_89,14209418
User_90,14172463
User_91,14163127
User_92,14156012
User_93,14118784
User_94,14082196
User_95,14060971
User_96,14060958
User_97,14036048
User_98,13980901
User_99,13971944
User_100,13908652
User_101,13837052
User_102,13804288
User_103,13755374
User_104,13749958
User_105,13602036
User_106,13591484
User_107,13570348
User_108,13526254
User_109,13480124
User_110,13446384
User_111,13365304
User_112,13360316
User_113,13333160
User_114,13305792
User_115,13302028
User_116,13294447
User_117,13278754
User_118,13278513
User_119,13151317
User_120,13113126
User_121,13081768
User_122,13013508
User_123,13012156
User_124,12948171
User_125,12938519
User_126,12937763
User_127,12857745
User_128,12802161
User_129,12792544
User_130,12788775
User_131,12773793
User_132,12747236
User_133,12744919
User_134,12660685
User_135,12617473
User_136,12571668
User_137,12463917
User_138,12449607
User_139,12445413
User_140,12440960
User_141,12417232
User_142,12379311
User_143,12355099
User_144,12353529
User_145,12312317
User_146,12304879
User_147,12239401
User_148,12223919
User_149,12204625
User_150,12161608
User_151,12155756
User_152,12152261
User_153,12119433
User_154,12111985
User_155,12110006
User_156,12088343
User_157,12085085
User_158,12078530
User_159,12064107
User_160,12036786
User_161,12013056
User_162,12007876
User_163,12005774
User_164,11981696
User_165,11970093
User_166,11945863
User_167,11923643
User_168,11920427
User_169,11905469
User_170,11874272
User_171,11868384
User_172,11805147
User_173,11786745
User_174,11761837
User_175,11742296
User_176,11740341
User_177,11723026
User_178,11704281
User_179,11667150
User_180,11606252
User_181,11597801
User_182,11580661
User_183,11573692
User_184,11571312
User_185,11567848
User_186,11545763
User_187,11511570
User_188,11493251
User_189,11490626
User_190,11481911
User_191,11465985
User_192,11443738
User_193,11390287
User_194,11374546
User_195,11374470
User_196,11328513
User_197,11327710
User_198,11325483
User_199,11314625
User_200,11308221
User_201,11282072
User_202,11264995
User_203,11246364
User_204,11227689
User_205,11188774
User_206,11185234
User_207,11175753
User_208,11160875
User_209,11152956
User_210,11114039
User_211,11110761
User_212,11072430
User_213,11063938
User_214,11054845
User_215,11051277
User_216,11002829
User_217,10999424
User_218,10993352
User_219,10976608
User_220,10971062
User_221,10955640
User_222,10947585
User_223,10931847
User_224,10921095
User_225,10917738
User_226,10917690
User_227,10888403
User_228,10871224
User_229,10869134
User_230,10868195
User_231,10850915
User_232,10821119
User_233,10812766
User_234,10784567
User_235,10774063
User_236,10771431
User_237,10756813
User_238,10701800
User_239,10694053
User_240,10690120
User_241,10677171
User_242,10671986
User_243,10662554
User_244,10629086
User_245,10627106
User_246,10615037
User_247,10600305
User_248,10582552
User_249,10576343
User_250,10547120
User_251,10540094
User_252,10509110
User_253,10506142
User_254,10474458
User_255,10472513
User_256,10440374
User_257,10430479
User_258,10429812
User_259,10428105
User_260,10372640
User_261,10372235
User_262,10369417
User_263,10360411
User_264,10352759
User_265,10349301
User_266,10341193
User_267,10326020
User_268,10322985
User_269,10320809
User_270,10315539
User_271,10314138
User_272,10292123
User_273,10290362
User_274,10277667
User_275,10265222
User_276,10243055
User_277,10237851
User_278,10226237
User_279,10206533
User_280,10157947
User_281,10157410
User_282,10141775
User_283,10127852
User_284,10126484
User_285,10106850
User_286,10104018
User_287,10102274
User_288,10097369
User_289,10084782
User_290,10074777
User_291,10057699
User_292,10046711
User_293,10031774
User_294,10019396
User_295,9999369
User_296,9981588
User_297,9963221
User_298,9947750
User_299,9936555
User_300,9903250
User_301,9887920
User_302,9880540
User_303,9875607
User_304,9870896
User_305,9860997
User_306,9837164
User_307,9796635
User_308,9791575
User_309,9790549
User_310,9783984
User_311,9780862
User_312,9765123
User_313,9759279
User_314,9732777
User_315,9726384
User_316,9707684
User_317,9696473
User_318,9689726
User_319,9686586
User_320,9685633
User_321,9678427
User_322,9675105
User_323,9655958
User_324,9646044
User_325,9637158
User_326,9633698
User_327,9632171
User_328,9618786
User_329,9584616
