player_name,Damage
User_1,25978220
User_2,22871307
User_3,20068143
User_4,19015432
User_5,18106947
User_6,17390320
User_7,17390320
User_8,16805484
User_9,15389255
User_10,15252770
User_11,15177513
User_12,15099978
User_13,14506700
User_14,14347813
User_15,13888057
User_16,13248745
User_17,12388560
User_18,12253850
User_19,12021500
User_20,11565805
User_21,11563169
User_22,11520163
User_23,11479382
User_24,11373809
User_25,11061163
User_26,11050179
User_27,10918899
User_28,10760223
User_29,10520027
User_30,10508309
User_31,10252221
User_32,10176936
User_33,10122683
User_34,9885400
User_35,9763195
User_36,9723682
User_37,9680301
User_38,9652509
User_39,9651741
User_40,9613375
User_41,9464719
User_42,9399967
User_43,9355242
User_44,9235121
User_45,9135825
User_46,9117667
User_47,9070620
User_48,8992543
User_49,8918500
User_50,8874887
User_51,8715340
User_52,8687675
User_53,8664121
User_54,8653867
User_55,8591920
User_56,8578863
User_57,8577440
User_58,8503379
User_59,8414393
User_60,8382600
User_61,8351574
User_62,8342761
User_63,8336598
User_64,8172958
User_65,8096213
User_66,8055667
User_67,7971362
User_68,7959949
User_69,7954772
User_70,7911754
User_71,7836473
User_72,7763668
User_73,7725674
User_74,7678930
User_75,7625415
User_76,7607846
User_77,7567183
User_78,7552440
User_79,7495804
User_80,7468760
User_81,7438815
User_82,7426897
User_83,7360038
User_84,7352637
User_85,7342976
User_86,7293934
User_87,7264211
User_88,7220116
User_89,7215004
User_90,7209336
User_91,7120713
User_92,7109394
User_93,7085095
User_94,7082895
User_95,7079321
User_96,7067882
User_97,7037642
User_98,7035861
User_99,6991946
User_100,6961171
User_101,6953790
User_102,6927461
User_103,6913583
User_104,6902450
User_105,6899142
User_106,6874610
User_107,6863269
User_108,6851322
User_109,6823061
User_110,6805776
User_111,6744682
User_112,6740937
User_113,6614618
User_114,6554914
User_115,6552404
User_116,6530978
User_117,6526291
User_118,6521927
User_119,6514600
User_120,6486908
User_121,6453543
User_122,6429813
User_123,6405517
User_124,6398382
User_125,6360368
User_126,6346906
User_127,6336373
User_128,6302388
User_129,6280444
User_130,6248989
User_131,6239372
User_132,6222726
User_133,6216103
User_134,6210346
User_135,6199153
User_136,6189075
User_137,6188509
User_138,6177365
User_139,6175897
User_140,6173174
User_141,6157436
User_142,6137370
User_143,6133059
User_144,6123407
User_145,6108165
User_146,6102838
User_147,6097782
User_148,6089438
User_149,6079745
User_150,6057828
User_151,6053955
User_152,6044502
User_153,6039329
User_154,6034956
User_155,6026774
User_156,6019970
User_157,6012276
User_158,6011400
User_159,6011100
User_160,6010144
User_161,6002457
User_162,5998760
User_163,5990806
User_164,5990464
User_165,5984189
User_166,5973279
User_167,5973256
User_168,5962667
User_169,5945948
User_170,5935007
User_171,5934522
User_172,5929319
User_173,5922318
User_174,5918791
User_175,5901522
User_176,5880958
User_177,5853240
User_178,5843294
User_179,5840914
User_180,5837089
User_181,5827262
User_182,5821784
User_183,5821771
User_184,5820819
User_185,5811779
User_186,5789737
User_187,5785281
User_188,5782419
User_189,5782286
User_190,5742863
User_191,5742498
User_192,5741346
User_193,5703454
User_194,5701703
User_195,5681957
User_196,5665462
User_197,5648184
User_198,5644167
User_199,5632592
User_200,5629101
User_201,5621879
User_202,5618826
User_203,5618593
User_204,5607900
User_205,5595330
User_206,5592258
User_207,5582614
User_208,5581567
User_209,5576371
User_210,5558678
User_211,5551570
User_212,5551156
User_213,5529768
User_214,5518694
User_215,5514375
User_216,5510832
User_217,5503851
User_218,5492703
User_219,5491310
User_220,5483900
User_221,5476051
User_222,5475291
User_223,5468139
User_224,5457635
User_225,5445104
User_226,5439089
User_227,5435974
User_228,5434051
User_229,5433260
User_230,5432193
User_231,5429085
User_232,5425297
User_233,5420781
User_234,5416700
User_235,5410946
User_236,5407808
User_237,5400523
User_238,5381798
User_239,5374647
User_240,5372878
User_241,5366971
User_242,5359443
User_243,5353330
User_244,5332341
User_245,5319127
User_246,5319014
User_247,5313118
User_248,5279089
User_249,5269426
User_250,5259639
User_251,5241042
User_252,5229480
User_253,5229473
User_254,5228635
User_255,5224761
User_256,5224539
User_257,5223272
User_258,5217303
User_259,5206814
User_260,5197193
User_261,5195193
User_262,5194638
User_263,5186723
User_264,5171411
User_265,5166910
User_266,5159592
User_267,5156224
User_268,5154700
User_269,5151919
User_270,5137205
User_271,5132364
User_272,5125447
User_273,5106476
User_274,5103146
User_275,5093864
User_276,5092057
User_277,5082633
User_278,5080287
User_279,5064587
User_280,5059055
