player_name,Damage
User_1,36853112
User_2,35908812
User_3,35526563
User_4,27603589
User_5,25315202
User_6,24603032
User_7,22982062
User_8,21365056
User_9,20919621
User_10,20328763
User_11,20058633
User_12,19567807
User_13,19244371
User_14,18686967
User_15,18365510
User_16,18306753
User_17,17933767
User_18,17769176
User_19,17242005
User_20,17167206
User_21,17040769
User_22,16853302
User_23,16046855
User_24,15991818
User_25,15873299
User_26,15753515
User_27,15690588
User_28,15253404
User_29,15118078
User_30,14933350
User_31,14883546
User_32,14837478
User_33,14770342
User_34,14657665
User_35,14346548
User_36,14313644
User_37,13991111
User_38,13975262
User_39,13957318
User_40,13920387
User_41,13820377
User_42,13772615
User_43,13645741
User_44,13501762
User_45,13362819
User_46,13341878
User_47,13290452
User_48,13182418
User_49,13156222
User_50,13097880
User_51,13077801
User_52,13068814
User_53,13053695
User_54,13000864
User_55,12952398
User_56,12946059
User_57,12892699
User_58,12843424
User_59,12779584
User_60,12714431
User_61,12713099
User_62,12686337
User_63,12492211
User_64,12488898
User_65,12395285
User_66,12381341
User_67,12315131
User_68,12299927
User_69,12272892
User_70,12227566
User_71,12124308
User_72,12105871
User_73,12081672
User_74,12066171
User_75,12053981
User_76,12050615
User_77,12032903
User_78,12030609
User_79,11895866
User_80,11860173
User_81,11847237
User_82,11835850
User_83,11796444
User_84,11759607
User_85,11724593
User_86,11609617
User_87,11604019
User_88,11508583
User_89,11335795
User_90,11302237
User_91,11270768
User_92,11193546
User_93,11073256
User_94,11010305
User_95,10985567
User_96,10944525
User_97,10939336
User_98,10922443
User_99,10886841
User_100,10862354
User_101,10848901
User_102,10797815
User_103,10779193
User_104,10769051
User_105,10727713
User_106,10727336
User_107,10601344
User_108,10586072
User_109,10570122
User_110,10533602
User_111,10531789
User_112,10466745
User_113,10459722
User_114,10435014
User_115,10429235
User_116,10419776
User_117,10352772
User_118,10332040
User_119,10327257
User_120,10295566
User_121,10289625
User_122,10279139
User_123,10189952
User_124,10187272
User_125,10160036
User_126,10149278
User_127,10116588
User_128,10113154
User_129,10071376
User_130,10063895
User_131,10048375
User_132,10039137
User_133,10017437
User_134,9981744
User_135,9979467
User_136,9967544
User_137,9943176
User_138,9934934
User_139,9920174
User_140,9877410
User_141,9860635
User_142,9860289
User_143,9821606
User_144,9792867
User_145,9788923
User_146,9775149
User_147,9774298
User_148,9698743
User_149,9687582
User_150,9659018
User_151,9649670
User_152,9629028
User_153,9591755
User_154,9565254
User_155,9565061
User_156,9535040
User_157,9523574
User_158,9498351
User_159,9478036
User_160,9451891
User_161,9449279
User_162,9432600
User_163,9417252
User_164,9392756
User_165,9381396
User_166,9363579
User_167,9252305
User_168,9250202
User_169,9204579
User_170,9183538
User_171,9181252
User_172,9175720
User_173,9172126
User_174,9157761
User_175,9154268
User_176,9140893
User_177,9128773
User_178,9118220
User_179,9110197
User_180,9104885
User_181,9059613
User_182,9052547
User_183,9050929
User_184,9047480
User_185,9035187
User_186,9034360
User_187,9033287
User_188,8958804
User_189,8956150
User_190,8923667
User_191,8919471
User_192,8910576
User_193,8885419
User_194,8872170
User_195,8829715
User_196,8796874
User_197,8794292
User_198,8766451
User_199,8765749
User_200,8761218
User_201,8758309
User_202,8718720
User_203,8708487
User_204,8700880
User_205,8614415
User_206,8605927
User_207,8596551
User_208,8596551
User_209,8596433
User_210,8593199
User_211,8539793
User_212,8539434
User_213,8539314
User_214,8509009
User_215,8497725
User_216,8496408
User_217,8479831
User_218,8470928
User_219,8451967
User_220,8416695
User_221,8407258
User_222,8405549
User_223,8363788
User_224,8325412
User_225,8323086
User_226,8286026
User_227,8281129
User_228,8231789
User_229,8217872
User_230,8216383
User_231,8201859
User_232,8175864
User_233,8167036
User_234,8120601
User_235,8099405
User_236,8084161
User_237,8080389
User_238,8060603
User_239,8060273
User_240,8058035
User_241,8056335
User_242,8045313
User_243,8041639
User_244,8031635
User_245,8022189
User_246,8018611
User_247,8011025
User_248,8005351
User_249,7993056
User_250,7971262
User_251,7940953
User_252,7931550
User_253,7909630
User_254,7896778
User_255,7887690
User_256,7880787
