player_name,Damage
User_1,30073619
User_2,14831207
User_3,13128013
User_4,13044145
User_5,12980936
User_6,11967119
User_7,11950274
User_8,11482684
User_9,11132382
User_10,10990761
User_11,10938354
User_12,10872443
User_13,10487204
User_14,9648318
User_15,9643694
User_16,9560354
User_17,9398903
User_18,9269577
User_19,9265592
User_20,9143607
User_21,9104831
User_22,8828247
User_23,8799142
User_24,8794394
User_25,8727819
User_26,8413205
User_27,8382307
User_28,8222839
User_29,7944745
User_30,7911068
User_31,7870492
User_32,7841893
User_33,7637345
User_34,7448049
User_35,7434653
User_36,7415485
User_37,7375798
User_38,7285710
User_39,7258774
User_40,7253709
User_41,7253020
User_42,7249277
User_43,7204190
User_44,7089536
User_45,7069375
User_46,7067516
User_47,7062965
User_48,7058063
User_49,6936580
User_50,6751183
User_51,6635160
User_52,6606177
User_53,6478972
User_54,6449994
User_55,6435455
User_56,6406968
User_57,6382585
User_58,6350606
User_59,6278353
User_60,6260061
User_61,6243408
User_62,6219279
User_63,6148372
User_64,6146050
User_65,6115544
User_66,6095867
User_67,6094276
User_68,6047076
User_69,5983791
User_70,5980373
User_71,5967077
User_72,5953292
User_73,5951524
User_74,5801865
User_75,5794762
User_76,5779370
User_77,5766268
User_78,5750328
User_79,5698850
User_80,5690367
User_81,5685076
User_82,5679179
User_83,5664953
User_84,5641464
User_85,5547968
User_86,5544799
User_87,5539217
User_88,5505843
User_89,5504043
User_90,5503102
User_91,5477196
User_92,5471011
User_93,5430404
User_94,5430387
User_95,5423036
User_96,5379139
User_97,5378144
User_98,5332071
User_99,5325717
User_100,5322611
User_101,5308525
User_102,5300836
User_103,5296059
User_104,5291271
User_105,5285060
User_106,5277988
User_107,5268422
User_108,5259514
User_109,5237486
User_110,5178969
User_111,5119030
User_112,5116908
User_113,5109839
User_114,5086183
User_115,5019374
User_116,4997501
User_117,4989564
User_118,4966644
User_119,4960781
User_120,4942648
User_121,4936297
User_122,4884650
User_123,4877456
User_124,4877179
User_125,4874101
User_126,4839858
User_127,4830338
User_128,4815172
User_129,4808913
User_130,4789377
User_131,4777489
User_132,4691543
User_133,4668642
User_134,4665453
User_135,4645311
User_136,4640412
User_137,4624551
User_138,4617527
User_139,4580226
User_140,4575141
User_141,4568308
User_142,4555714
User_143,4549853
User_144,4546331
User_145,4540827
User_146,4509051
User_147,4483514
User_148,4465554
User_149,4455855
User_150,4435866
User_151,4435661
User_152,4427071
User_153,4425879
User_154,4424140
User_155,4419415
User_156,4416029
User_157,4404699
User_158,4403154
User_159,4395254
User_160,4388455
User_161,4382337
User_162,4368565
User_163,4368543
User_164,4367078
User_165,4359150
User_166,4345507
User_167,4344241
User_168,4313907
User_169,4313614
User_170,4300780
User_171,4299862
User_172,4296071
User_173,4266207
User_174,4262015
User_175,4254233
User_176,4252997
User_177,4239732
User_178,4219423
User_179,4214588
User_180,4197207
User_181,4195911
User_182,4189901
User_183,4188179
User_184,4186334
User_185,4183571
User_186,4171726
User_187,4170164
User_188,4168154
User_189,4166835
User_190,4163608
User_191,4146995
User_192,4139108
User_193,4120990
User_194,4107386
User_195,4104394
User_196,4094116
User_197,4091799
User_198,4087596
User_199,4086410
User_200,4077903
User_201,4065170
User_202,4043936
User_203,4041414
User_204,4034122
User_205,4032956
User_206,3996259
User_207,3983806
User_208,3963975
User_209,3949792
User_210,3948379
User_211,3941315
User_212,3938858
User_213,3932085
User_214,3912202
User_215,3907009
User_216,3905418
User_217,3897715
User_218,3895296
User_219,3894299
User_220,3893677
User_221,3890946
User_222,3881869
User_223,3881666
User_224,3878441
User_225,3867003
User_226,3853402
User_227,3849071
User_228,3844596
User_229,3840722
User_230,3833583
User_231,3830404
User_232,3822782
User_233,3820315
User_234,3819052
User_235,3811477
User_236,3809218
