player_name,Damage
User_1,21272939
User_2,20554929
User_3,20031488
User_4,19526723
User_5,17618758
User_6,17012193
User_7,16918054
User_8,15024112
User_9,14799884
User_10,13353903
User_11,13024971
User_12,13019640
User_13,12889323
User_14,12764935
User_15,12596719
User_16,12425643
User_17,11277211
User_18,10239050
User_19,10095428
User_20,10089944
User_21,10083573
User_22,9907025
User_23,9884486
User_24,9747007
User_25,9517614
User_26,9377111
User_27,9167433
User_28,9161404
User_29,8992899
User_30,8930358
User_31,8879117
User_32,8708506
User_33,8629944
User_34,8326753
User_35,8158199
User_36,8017199
User_37,7821196
User_38,7787748
User_39,7727393
User_40,7646273
User_41,7595634
User_42,7541769
User_43,7501713
User_44,7420284
User_45,7311715
User_46,7234485
User_47,7181792
User_48,7154888
User_49,7077549
User_50,7002304
User_51,6983634
User_52,6948271
User_53,6898215
User_54,6888642
User_55,6801284
User_56,6599716
User_57,6570791
User_58,6559974
User_59,6545260
User_60,6529882
User_61,6447922
User_62,6414875
User_63,6389242
User_64,6385977
User_65,6259150
User_66,6228343
User_67,6214198
User_68,6213905
User_69,6201919
User_70,6106841
User_71,6091317
User_72,6028336
User_73,5968425
User_74,5905574
User_75,5892885
User_76,5839676
User_77,5834352
User_78,5825612
User_79,5788402
User_80,5766488
User_81,5691567
User_82,5646998
User_83,5630299
User_84,5610365
User_85,5606978
User_86,5602245
User_87,5589618
User_88,5540145
User_89,5538144
User_90,5505142
User_91,5492155
User_92,5481234
User_93,5375161
User_94,5338956
User_95,5274544
User_96,5230038
User_97,5181067
User_98,5149542
User_99,5132990
User_100,5109511
User_101,5054152
User_102,5023560
User_103,5009785
User_104,4988811
User_105,4972771
User_106,4950140
User_107,4935874
User_108,4920867
User_109,4916532
User_110,4870026
User_111,4837293
User_112,4814975
User_113,4790226
User_114,4779590
User_115,4753472
User_116,4753002
User_117,4749509
User_118,4729855
User_119,4720542
User_120,4707698
User_121,4693878
User_122,4693866
User_123,4689395
User_124,4683125
User_125,4682302
User_126,4651244
User_127,4633882
User_128,4623907
User_129,4590579
User_130,4582433
User_131,4574056
User_132,4567681
User_133,4557218
User_134,4556814
User_135,4553103
User_136,4540996
User_137,4526493
User_138,4506131
User_139,4505780
User_140,4492639
User_141,4481883
User_142,4472989
User_143,4472989
User_144,4459089
User_145,4458931
User_146,4453411
User_147,4429738
User_148,4428259
User_149,4407427
User_150,4392885
User_151,4392286
User_152,4374733
User_153,4370189
User_154,4369161
User_155,4359851
User_156,4359686
User_157,4346211
User_158,4337754
User_159,4330353
User_160,4322772
User_161,4318987
User_162,4303955
User_163,4290675
User_164,4270346
User_165,4261104
User_166,4256090
User_167,4255762
User_168,4248735
User_169,4212392
User_170,4210707
User_171,4200568
User_172,4196250
User_173,4187730
User_174,4181157
User_175,4166381
User_176,4133088
User_177,4121805
User_178,4102511
User_179,4091646
User_180,4089563
User_181,4078196
User_182,4068631
User_183,4057945
User_184,4039956
User_185,4035218
User_186,4025944
User_187,4023741
User_188,4022620
User_189,4021128
User_190,4016837
User_191,4011698
User_192,4004631
User_193,3995196
User_194,3981298
User_195,3979330
User_196,3961084
User_197,3959529
User_198,3945981
User_199,3943424
User_200,3934668
User_201,3933157
User_202,3932783
User_203,3915917
User_204,3915892
User_205,3913419
User_206,3904499
User_207,3902928
User_208,3901008
User_209,3872269
User_210,3858609
User_211,3857317
User_212,3854805
User_213,3853904
User_214,3850143
User_215,3839840
User_216,3832625
User_217,3819898
User_218,3814446
User_219,3804246
User_220,3797068
User_221,3794097
User_222,3775986
User_223,3772360
User_224,3766457
User_225,3763204
User_226,3761273
User_227,3747626
User_228,3747612
User_229,3746648
User_230,3726792
User_231,3724861
User_232,3715579
User_233,3715303
User_234,3710131
User_235,3701143
User_236,3700724
User_237,3695280
User_238,3686921
User_239,3686028
User_240,3679587
User_241,3677550
User_242,3673619
User_243,3673129
User_244,3672705
User_245,3665412
User_246,3653945
User_247,3651662
User_248,3642196
User_249,3635802
User_250,3619307
User_251,3618410
User_252,3616045
User_253,3598831
User_254,3597668
User_255,3595383
User_256,3592051
User_257,3591318
User_258,3584677
User_259,3582535
User_260,3578570
User_261,3573219
User_262,3572203
User_263,3562756
User_264,3552385
User_265,3550419
User_266,3532792
User_267,3528327
User_268,3525008
User_269,3524231
User_270,3523226
User_271,3519769
User_272,3510597
User_273,3508245
User_274,3498511
User_275,3498472
User_276,3494870
User_277,3494332
User_278,3491398
User_279,3486973
User_280,3485057
User_281,3480957
User_282,3469608
User_283,3466184
User_284,3460457
User_285,3454367
User_286,3445147
User_287,3444493
User_288,3443938
User_289,3443627
User_290,3442853
User_291,3441909
User_292,3426076
User_293,3419364
User_294,3413954
User_295,3404186
User_296,3399833
User_297,3399362
User_298,3387507
User_299,3387406
User_300,3378658
User_301,3373329
User_302,3366143
User_303,3361343
User_304,3355005
User_305,3353373
User_306,3351963
User_307,3344664
User_308,3324636
User_309,3323763
User_310,3322669
User_311,3319660
User_312,3315168
User_313,3310982
User_314,3309793
User_315,3308561
User_316,3302925
User_317,3301779
User_318,3285873
User_319,3273109
User_320,3253285
User_321,3245365
User_322,3245167
User_323,3244713
User_324,3243488
User_325,3240042
User_326,3239001
User_327,3230302
User_328,3228461
User_329,3228369
User_330,3213366
User_331,3212343
User_332,3212073
User_333,3208417
User_334,3202584
User_335,3201434
User_336,3201044
User_337,3199002
User_338,3194802
User_339,3192547
User_340,3191515
User_341,3186902
User_342,3184141
User_343,3182247
User_344,3180257
User_345,3178569
User_346,3177407
User_347,3174417
User_348,3170069
User_349,3166475
User_350,3166131
User_351,3154753
User_352,3154001
User_353,3150373
User_354,3149071
User_355,3147609
User_356,3147193
User_357,3146770
User_358,3145799
User_359,3142206
User_360,3139585
User_361,3135594
User_362,3133582
User_363,3132211
User_364,3129787
User_365,3128901
User_366,3127538
User_367,3125583
User_368,3123372
User_369,3121369
User_370,3113868
User_371,3113811
User_372,3104009
User_373,3102491
User_374,3101359
User_375,3097998
User_376,3089857
User_377,3086927
User_378,3082723
User_379,3067720
User_380,3060040
User_381,3055828
User_382,3055767
User_383,3055570
User_384,3052257
User_385,3048171
User_386,3045898
User_387,3040528
User_388,3040201
User_389,3038783
User_390,3034144
User_391,3030430
User_392,3030368
User_393,3019608
User_394,3014076
User_395,3002275
User_396,2997262
User_397,2994019
User_398,2993944
User_399,2988127
User_400,2985920
User_401,2985767
User_402,2985597
User_403,2973126
User_404,2971911
User_405,2960713
User_406,2960324
User_407,2955614
User_408,2946386
User_409,2944905
User_410,2941307
User_411,2941292
User_412,2939189
User_413,2937979
User_414,2936068
User_415,2932448
User_416,2927434
User_417,2925660
User_418,2917917
User_419,2913587
User_420,2912571
User_421,2908715
User_422,2908411
User_423,2907604
User_424,2907111
User_425,2904714
User_426,2903234
User_427,2899009
User_428,2898263
User_429,2894227
User_430,2892337
User_431,2887695
User_432,2877637
User_433,2873609
User_434,2871928
User_435,2871277
User_436,2870630
User_437,2864677
User_438,2861288
User_439,2857026
User_440,2850812
User_441,2848391
User_442,2847737
User_443,2846498
User_444,2841928
User_445,2841074
User_446,2840090
User_447,2829460
User_448,2827324
User_449,2826024
User_450,2824536
User_451,2822254
User_452,2815096
User_453,2808856
User_454,2799244
User_455,2786977
User_456,2785992
User_457,2782510
User_458,2776357
User_459,2774525
User_460,2774480
User_461,2772176
User_462,2770607
User_463,2769205
User_464,2760844
User_465,2755652
User_466,2754570
User_467,2752821
User_468,2752696
User_469,2751676
User_470,2750603
User_471,2744851
User_472,2743881
User_473,2740886
User_474,2740506
User_475,2740340
User_476,2737783
User_477,2737662
User_478,2736092
User_479,2733353
User_480,2732921
User_481,2729907
User_482,2728286
User_483,2727886
User_484,2718172
User_485,2712585
User_486,2709344
User_487,2708355
User_488,2705968
User_489,2697729
User_490,2694767
User_491,2692731
User_492,2688997
User_493,2685778
User_494,2682681
